Electoral district number - Numéro de la circonscription,Electoral district name,Type of results*,Surname - Nom de famille,Given name - Prénom,Political affiliation,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés,Province,,,,,
48010,Calgary Rocky Ridge,validated,Wright,Catriona,Green Party,1360,2.1,167,63459,Alberta,,,,,
48011,Calgary Shepard,validated,Allard,Dany,NDP-New Democratic Party,4532,6.8,208,66559,Alberta,,,,,
48011,Calgary Shepard,validated,James,Jerome,Liberal,16379,24.7,208,66559,Alberta,,,,,
48011,Calgary Shepard,validated,Kmiec,Tom,Conservative,43706,65.9,208,66559,Alberta,,,,,
48011,Calgary Shepard,validated,MacKenzie,Graham,Green Party,1734,2.6,208,66559,Alberta,,,,,
48012,Calgary Signal Hill,validated,Ahmed,Khalis,NDP-New Democratic Party,3128,5,189,62708,Alberta,,,,,
48012,Calgary Signal Hill,validated,Cundal,Kerry,Liberal,19108,30.6,189,62708,Alberta,,,,,
48012,Calgary Signal Hill,validated,Knorren,Taryn,Green Party,1586,2.5,189,62708,Alberta,,,,,
48012,Calgary Signal Hill,validated,Liepert,Ron,Conservative,37858,60.6,189,62708,Alberta,,,,,
48012,Calgary Signal Hill,validated,Moen,Tim,Libertarian,679,1.1,189,62708,Alberta,,,,,
48012,Calgary Signal Hill,validated,Rau,Jesse,Christian Heritage Party,160,0.3,189,62708,Alberta,,,,,
48013,Calgary Skyview,validated,Blanchard,Daniel,Marxist-Leninist,88,0.2,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Butt,Najeeb,PC Party,957,2.1,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Garvey,Stephen,Democratic Advancement,786,1.7,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Kang,Darshan Singh,Liberal,20644,45.9,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Reddy,Ed,Green Party,846,1.9,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Shory,Devinder,Conservative,17885,39.8,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Singh,Sahajvir,NDP-New Democratic Party,3605,8,310,45303,Alberta,,,,,
48013,Calgary Skyview,validated,Young,Joseph,Independent,182,0.4,310,45303,Alberta,,,,,
48014,Edmonton Centre,validated,Boissonnault,Randy,Liberal,19902,37.2,234,53746,Alberta,,,,,
48014,Edmonton Centre,validated,Cumming,James,Conservative,18703,35,234,53746,Alberta,,,,,
48014,Edmonton Centre,validated,McGowan,Gil,NDP-New Democratic Party,13084,24.5,234,53746,Alberta,,,,,
48014,Edmonton Centre,validated,Parker,David,Green Party,1403,2.6,234,53746,Alberta,,,,,
