Electoral district number - Num̩ro de la circonscription,Electoral district name,Nom de la circonscription,Type of results*,Type de r̩sultats**,Surname - Nom de famille,Middle name(s) - Autre(s) pr̩nom(s),Given name - Pr̩nom,Political affiliation,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejet̩s***,Total number of ballots cast - Nombre total de votes d̩pos̩s
10006,St. John's East,St. John's-Est,preliminary,pr̩liminaires,Peters,,David Anthony,Green Party,Parti Vert,490,1.1,0,44415
10006,St. John's East,St. John's-Est,preliminary,pr̩liminaires,Stapleton,,Deanne,Conservative,Conservateur,2902,6.5,0,44415
10006,St. John's East,St. John's-Est,preliminary,pr̩liminaires,Whalen,,Nick,Liberal,Lib̩ral,20771,46.8,0,44415
10006,St. John's East,St. John's-Est,validated,valid̩s,Burton,,Sean,Communist,Communiste,140,0.3,111,44991
10006,St. John's East,St. John's-Est,validated,valid̩s,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,20328,45.3,111,44991
10006,St. John's East,St. John's-Est,validated,valid̩s,Peters,,David Anthony,Green Party,Parti Vert,500,1.1,111,44991
10006,St. John's East,St. John's-Est,validated,valid̩s,Stapleton,,Deanne,Conservative,Conservateur,2938,6.5,111,44991
10006,St. John's East,St. John's-Est,validated,valid̩s,Whalen,,Nick,Liberal,Lib̩ral,20974,46.7,111,44991
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,pr̩liminaires,Cleary,,Ryan,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,16465,36.8,0,44781
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,pr̩liminaires,Krol,,Marek,Conservative,Conservateur,2029,4.5,0,44781
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,pr̩liminaires,McLean,,Jackson,Green Party,Parti Vert,365,0.8,0,44781
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,pr̩liminaires,O'Regan,,Seamus,Liberal,Lib̩ral,25922,57.9,0,44781
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,valid̩s,Cleary,,Ryan,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,16467,36.8,133,44934
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,valid̩s,Krol,,Marek,Conservative,Conservateur,2047,4.6,133,44934
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,valid̩s,McLean,,Jackson,Green Party,Parti Vert,365,0.8,133,44934
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,valid̩s,O'Regan,,Seamus,Liberal,Lib̩ral,25922,57.9,133,44934
11001,Cardigan,Cardigan,preliminary,pr̩liminaires,Cann,,Billy,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2503,11.1,0,22485
11001,Cardigan,Cardigan,preliminary,pr̩liminaires,Doyle,,Teresa,Green Party,Parti Vert,1434,6.4,0,22485
11001,Cardigan,Cardigan,preliminary,pr̩liminaires,MacAulay,,Lawrence,Liberal,Lib̩ral,14621,65,0,22485
11001,Cardigan,Cardigan,preliminary,pr̩liminaires,Patkai,,Julius,Conservative,Conservateur,3632,16.2,0,22485
11001,Cardigan,Cardigan,preliminary,pr̩liminaires,Squires,,Christene,Christian Heritage Party,Parti de l'H̩ritage Chr̩tien,295,1.3,0,22485
11001,Cardigan,Cardigan,validated,valid̩s,Cann,,Billy,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2503,11.1,96,22581
11001,Cardigan,Cardigan,validated,valid̩s,Doyle,,Teresa,Green Party,Parti Vert,1434,6.4,96,22581
11001,Cardigan,Cardigan,validated,valid̩s,MacAulay,,Lawrence,Liberal,Lib̩ral,14621,65,96,22581
11001,Cardigan,Cardigan,validated,valid̩s,Patkai,,Julius,Conservative,Conservateur,3632,16.2,96,22581
11001,Cardigan,Cardigan,validated,valid̩s,Squires,,Christene,Christian Heritage Party,Parti de l'H̩ritage Chr̩tien,295,1.3,96,22581
11002,Charlottetown,Charlottetown,preliminary,pr̩liminaires,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4897,23.1,0,21165
11002,Charlottetown,Charlottetown,preliminary,pr̩liminaires,Casey,,Sean,Liberal,Lib̩ral,11910,56.3,0,21165
11002,Charlottetown,Charlottetown,preliminary,pr̩liminaires,MacMillan,,Ron,Conservative,Conservateur,3136,14.8,0,21165
11002,Charlottetown,Charlottetown,preliminary,pr̩liminaires,Viau,,Becka,Green Party,Parti Vert,1222,5.8,0,21165
11002,Charlottetown,Charlottetown,validated,valid̩s,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4897,23.1,99,21264
11002,Charlottetown,Charlottetown,validated,valid̩s,Casey,,Sean,Liberal,Lib̩ral,11910,56.3,99,21264
11002,Charlottetown,Charlottetown,validated,valid̩s,MacMillan,,Ron,Conservative,Conservateur,3136,14.8,99,21264
11002,Charlottetown,Charlottetown,validated,valid̩s,Viau,,Becka,Green Party,Parti Vert,1222,5.8,99,21264
11003,Egmont,Egmont,validated,valid̩s,Dickieson,,Herb,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4097,19.2,87,21449
11003,Egmont,Egmont,validated,valid̩s,Ling,,Nils,Green Party,Parti Vert,559,2.6,87,21449
11003,Egmont,Egmont,validated,valid̩s,Morrissey,,Bobby,Liberal,Lib̩ral,10521,49.3,87,21449
11003,Egmont,Egmont,validated,valid̩s,Shea,,Gail,Conservative,Conservateur,6185,29,87,21449
11004,Malpeque,Malpeque,preliminary,pr̩liminaires,Easter,,Wayne,Liberal,Lib̩ral,13950,62.1,0,22472
11004,Malpeque,Malpeque,preliminary,pr̩liminaires,Hayward,,Leah-Jane,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2509,11.2,0,22472
11004,Malpeque,Malpeque,preliminary,pr̩liminaires,Lund,,Lynne,Green Party,Parti Vert,2066,9.2,0,22472
11004,Malpeque,Malpeque,preliminary,pr̩liminaires,Stewart,,Stephen,Conservative,Conservateur,3947,17.6,0,22472
11004,Malpeque,Malpeque,validated,valid̩s,Easter,,Wayne,Liberal,Lib̩ral,13950,62.1,102,22574
11004,Malpeque,Malpeque,validated,valid̩s,Hayward,,Leah-Jane,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2509,11.2,102,22574
11004,Malpeque,Malpeque,validated,valid̩s,Lund,,Lynne,Green Party,Parti Vert,2066,9.2,102,22574
11004,Malpeque,Malpeque,validated,valid̩s,Stewart,,Stephen,Conservative,Conservateur,3947,17.6,102,22574
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,pr̩liminaires,Coady,,Maria Goretti,Green Party,Parti Vert,1279,3,0,43235
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,pr̩liminaires,Cuzner,,Rodger,Liberal,Lib̩ral,32163,74.4,0,43235
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,pr̩liminaires,Rodgers,,Adam Daniel,Conservative,Conservateur,6246,14.4,0,43235
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,pr̩liminaires,Smith,,Michelle,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,3547,8.2,0,43235
12001,Cape Breton--Canso,Cape Breton--Canso,validated,valid̩s,Coady,,Maria Goretti,Green Party,Parti Vert,1281,3,274,43511
12001,Cape Breton--Canso,Cape Breton--Canso,validated,valid̩s,Cuzner,,Rodger,Liberal,Lib̩ral,32163,74.4,274,43511
12001,Cape Breton--Canso,Cape Breton--Canso,validated,valid̩s,Rodgers,,Adam Daniel,Conservative,Conservateur,6246,14.4,274,43511
12001,Cape Breton--Canso,Cape Breton--Canso,validated,valid̩s,Smith,,Michelle,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,3547,8.2,274,43511
12002,Central Nova,Nova-Centre,preliminary,pr̩liminaires,DeLorey,,Fred,Conservative,Conservateur,11536,25.9,0,44504
12002,Central Nova,Nova-Centre,preliminary,pr̩liminaires,Fraser,,Sean,Liberal,Lib̩ral,25922,58.2,0,44504
12002,Central Nova,Nova-Centre,preliminary,pr̩liminaires,Hachey,,David,Green Party,Parti Vert,1921,4.3,0,44504
12002,Central Nova,Nova-Centre,preliminary,pr̩liminaires,Landry,,Ross,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4529,10.2,0,44504
12002,Central Nova,Nova-Centre,preliminary,pr̩liminaires,MacKenzie,,Alexander J.,Independent,Ind̩pendant,596,1.3,0,44504
12002,Central Nova,Nova-Centre,validated,valid̩s,DeLorey,,Fred,Conservative,Conservateur,11418,25.8,233,44496
12002,Central Nova,Nova-Centre,validated,valid̩s,Fraser,,Sean,Liberal,Lib̩ral,25909,58.5,233,44496
12002,Central Nova,Nova-Centre,validated,valid̩s,Hachey,,David,Green Party,Parti Vert,1834,4.1,233,44496
12002,Central Nova,Nova-Centre,validated,valid̩s,Landry,,Ross,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,4532,10.2,233,44496
12002,Central Nova,Nova-Centre,validated,valid̩s,MacKenzie,,Alexander J.,Independent,Ind̩pendant,570,1.3,233,44496
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Armstrong,,Scott,Conservative,Conservateur,12257,26.4,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Blanch,,Jason Matthew,Green Party,Parti Vert,1650,3.5,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Casey,,Bill,Liberal,Lib̩ral,29527,63.5,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Jackson,,Kenneth,Independent,Ind̩pendant,179,0.4,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Plett,,Richard Trueman,Independent,Ind̩pendant,70,0.2,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,pr̩liminaires,Robinson,,Wendy,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2810,6,0,46493
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Armstrong,,Scott,Conservative,Conservateur,12257,26.5,178,46510
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Blanch,,Jason Matthew,Green Party,Parti Vert,1650,3.6,178,46510
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Casey,,Bill,Liberal,Lib̩ral,29527,63.7,178,46510
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Jackson,,Kenneth,Independent,Ind̩pendant,181,0.4,178,46510
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Plett,,Richard Trueman,Independent,Ind̩pendant,70,0.2,178,46510
12003,Cumberland--Colchester,Cumberland--Colchester,validated,valid̩s,Robinson,,Wendy,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2647,5.7,178,46510
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,pr̩liminaires,Chisholm,,Robert,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,12758,24.4,0,52219
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,pr̩liminaires,Cole,,Jason,Conservative,Conservateur,7331,14,0,52219
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,pr̩liminaires,Fisher,,Darren,Liberal,Lib̩ral,30355,58.1,0,52219
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,pr̩liminaires,Nheiley,,Brynn,Green Party,Parti Vert,1775,3.4,0,52219
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,valid̩s,Chisholm,,Robert,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,12757,24.4,201,52471
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,valid̩s,Cole,,Jason,Conservative,Conservateur,7331,14,201,52471
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,valid̩s,Fisher,,Darren,Liberal,Lib̩ral,30407,58.2,201,52471
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,valid̩s,Nheiley,,Brynn,Green Party,Parti Vert,1775,3.4,201,52471
12005,Halifax,Halifax,preliminary,pr̩liminaires,Bezanson,,Allan,Marxist-Leninist,Marxiste-L̩niniste,128,0.2,0,52307
12005,Halifax,Halifax,preliminary,pr̩liminaires,Carvery,,Irvine,Conservative,Conservateur,4540,8.7,0,52307
12005,Halifax,Halifax,preliminary,pr̩liminaires,Fillmore,,Andy,Liberal,Lib̩ral,26746,51.1,0,52307
12005,Halifax,Halifax,preliminary,pr̩liminaires,Leslie,,Megan,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,19129,36.6,0,52307
12005,Halifax,Halifax,preliminary,pr̩liminaires,Trappenberg,,Thomas,Green Party,Parti Vert,1764,3.4,0,52307
12005,Halifax,Halifax,validated,valid̩s,Bezanson,,Allan,Marxist-Leninist,Marxiste-L̩niniste,130,0.2,259,53291
12005,Halifax,Halifax,validated,valid̩s,Carvery,,Irvine,Conservative,Conservateur,4564,8.6,259,53291
12005,Halifax,Halifax,validated,valid̩s,Fillmore,,Andy,Liberal,Lib̩ral,27431,51.7,259,53291
12005,Halifax,Halifax,validated,valid̩s,Leslie,,Megan,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,19162,36.1,259,53291
12005,Halifax,Halifax,validated,valid̩s,Trappenberg,,Thomas,Green Party,Parti Vert,1745,3.3,259,53291
12006,Halifax West,Halifax-Ouest,preliminary,pr̩liminaires,Hussey,,Joanne,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,5857,11.7,0,49910
12006,Halifax West,Halifax-Ouest,preliminary,pr̩liminaires,McGinnis,,Michael,Conservative,Conservateur,7823,15.7,0,49910
12006,Halifax West,Halifax-Ouest,preliminary,pr̩liminaires,Regan,,Geoff,Liberal,Lib̩ral,34263,68.6,0,49910
12006,Halifax West,Halifax-Ouest,preliminary,pr̩liminaires,Zurawski,,Richard Henryk,Green Party,Parti Vert,1967,3.9,0,49910
12006,Halifax West,Halifax-Ouest,validated,valid̩s,Hussey,,Joanne,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,5894,11.8,181,50260
12006,Halifax West,Halifax-Ouest,validated,valid̩s,McGinnis,,Michael,Conservative,Conservateur,7837,15.6,181,50260
12006,Halifax West,Halifax-Ouest,validated,valid̩s,Regan,,Geoff,Liberal,Lib̩ral,34377,68.6,181,50260
12006,Halifax West,Halifax-Ouest,validated,valid̩s,Zurawski,,Richard Henryk,Green Party,Parti Vert,1971,3.9,181,50260
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Brison,,Scott,Liberal,Lib̩ral,33051,70.8,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Brown-Hodges,,Megan,Rhinoceros,Rhinoc̩ros,183,0.4,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Cooper,,Will,Green Party,Parti Vert,1570,3.4,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Curry,,Hugh,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,3001,6.4,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Morse,,David,Conservative,Conservateur,8672,18.6,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Twohig,,Edd,Independent,Ind̩pendant,133,0.3,0,46710
12007,Kings--Hants,Kings--Hants,preliminary,pr̩liminaires,Williams,,Clifford James,Independent,Ind̩pendant,100,0.2,0,46710
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Brison,,Scott,Liberal,Lib̩ral,33026,70.7,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Brown-Hodges,,Megan,Rhinoceros,Rhinoc̩ros,184,0.4,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Cooper,,Will,Green Party,Parti Vert,1569,3.4,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Curry,,Hugh,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,2998,6.4,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Morse,,David,Conservative,Conservateur,8677,18.6,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Twohig,,Edd,Independent,Ind̩pendant,132,0.3,202,46888
12007,Kings--Hants,Kings--Hants,validated,valid̩s,Williams,,Clifford James,Independent,Ind̩pendant,100,0.2,202,46888
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,pr̩liminaires,Montgomery,,Mike,Green Party,Parti Vert,1341,2.8,0,48301
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,pr̩liminaires,Samson,,Darrell,Liberal,Lib̩ral,23161,48,0,48301
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,pr̩liminaires,Stoffer,,Peter,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,16613,34.4,0,48301
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,pr̩liminaires,Strickland,,Robert Thomas,Conservative,Conservateur,7186,14.9,0,48301
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,valid̩s,Montgomery,,Mike,Green Party,Parti Vert,1341,2.8,180,48481
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,valid̩s,Samson,,Darrell,Liberal,Lib̩ral,23161,48,180,48481
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,valid̩s,Stoffer,,Peter,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,16613,34.4,180,48481
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,valid̩s,Strickland,,Robert Thomas,Conservative,Conservateur,7186,14.9,180,48481
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Barry,,Ryan,Communist,Communiste,151,0.3,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Biggar,,Richard,Green Party,Parti Vert,1520,2.9,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Bruhm,,Trevor,Independent,Ind̩pendant,257,0.5,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Clark,,Richard,Conservative,Conservateur,11844,22.6,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Godbold,,Alex,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,8839,16.8,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,preliminary,pr̩liminaires,Jordan,,Bernadette,Liberal,Lib̩ral,29877,56.9,0,52488
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Barry,,Ryan,Communist,Communiste,151,0.3,226,53001
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Biggar,,Richard,Green Party,Parti Vert,1534,2.9,226,53001
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Bruhm,,Trevor,Independent,Ind̩pendant,257,0.5,226,53001
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Clark,,Richard,Conservative,Conservateur,11905,22.6,226,53001
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Godbold,,Alex,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,8883,16.8,226,53001
12009,South Shore--St. Margarets,South Shore--St. Margarets,validated,valid̩s,Jordan,,Bernadette,Liberal,Lib̩ral,30045,56.9,226,53001
12010,Sydney--Victoria,Sydney--Victoria,preliminary,pr̩liminaires,Chiasson,,John Douglas,Conservative,Conservateur,4377,10.6,0,41188
12010,Sydney--Victoria,Sydney--Victoria,preliminary,pr̩liminaires,Dutt,,Monika,NDP-New Democratic Party,NPD-Nouveau Parti d̩mocratique,5362,13,0,41188
12010,Sydney--Victoria,Sydney--Victoria,preliminary,pr̩liminaires,Eyking,,Mark,Liberal,Lib̩ral,30181,73.3,0,41188
12010,Sydney--Victoria,Sydney--Victoria,preliminary,pr̩liminaires,Hiscock,,Wayne James,Libertarian,Libertarien,242,0.6,0,41188
12010,Sydney--Victoria,Sydney--Victoria,preliminary,pr̩liminaires,MacKinnon,,Adrianna,Green Party,Parti Vert,1026,2.5,0,41188
